Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Losing_Buy_Rounds,Buy_Ban_Active,Rebalance_Date,Universe_Count,Eligible_Count,Excluded_Count,Case_Name,Top_N_Requested,Stop_Loss_Pct
PRIN.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,2.041845321655273,34090000.0,1220011755.0,0.08,4938978545.0,0.0,0.492431640625,-0.492431640625,2.04153149787189,0,False,2021-06-30,100,47,53,baseline,10,0.0
BEM.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,7.432022094726562,815770000.0,15285000000.0,0.08,68826149362.0,0.0,0.49794769287109375,-0.49794769287109375,7.432020096657226,0,False,2021-06-30,100,47,53,baseline,10,0.0
CPALL.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,56.23168563842773,3300000000.0,8983000000.0,0.08,375458052407.0,0.0,0.5362567901611328,-0.5362567901611328,56.23181671322107,0,False,2021-06-30,100,47,53,baseline,10,0.0
KCE.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,64.16311645507812,293980000.0,1181966000.0,0.08,2680201406.0,0.0,0.5364570617675781,-0.5364570617675781,64.16317332692009,0,False,2021-06-30,100,47,53,baseline,10,0.0
MINT.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,28.2183895111084,1209000000.0,5275014831.0,0.08,185830843779.0,0.0,0.5443134307861328,-0.5443134307861328,28.218895374375037,0,False,2021-06-30,100,47,53,baseline,10,0.0
EA.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,60.321563720703125,1053000000.0,5402068965.0,0.08,49433261639.0,0.0,0.6006298065185547,-0.6006298065185547,60.32162354312405,0,False,2021-06-30,100,47,53,baseline,10,0.0
COM7.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,29.24513816833496,163180000.0,2399998265.0,0.08,4802945718.0,0.0,0.6589088439941406,-0.6589088439941406,29.24475117731495,0,False,2021-06-30,100,47,53,baseline,10,0.0
PTTGC.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,50.47476577758789,726750000.0,4508849117.0,0.08,275914177572.0,0.0,0.7566242218017578,-0.7566242218017578,50.475633937583915,0,False,2021-06-30,100,47,53,baseline,10,0.0
PTTEP.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,86.57879638671875,404100000.0,3969985400.0,0.08,10154374000.0,0.0,0.8144683837890625,-0.8144683837890625,86.57876278079596,0,False,2021-06-30,100,47,53,baseline,10,0.0
RBF.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,fixed,True,46,20.459123611450195,43480000.0,2000000000.0,0.08,-499581981.0,0.0,0.8294601440429688,-0.8294601440429688,20.458805585198327,0,False,2021-06-30,100,47,53,baseline,10,0.0
