Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Rebalance_Date,Universe_Count,Excluded_Count
EGCO.BK,2024-07-01,2023-12-31,2024-02-14,annual,fixed,True,138,92.08483123779295,8899096000.0,526465000.0,0.08,92247639000.0,-0.1677833608902166,-0.010703563690185547,-0.15707979720003104,92.08486778433048,2024-07-01,50,17
GPSC.BK,2024-07-01,2023-12-31,2024-02-14,annual,fixed,True,138,36.970664978027344,15951760162.0,2819000000.0,0.08,117442847442.0,-0.2636206521524312,-0.038245201110839844,-0.22537545104159135,36.97066943925445,2024-07-01,50,17
KTC.BK,2024-07-01,2023-12-31,2024-02-14,annual,fixed,True,138,37.25259399414063,1766195867.0,2577877959.0,0.08,61573800497.0,0.1112016140712677,0.41344451904296875,-0.30224290497170103,37.25250173178496,2024-07-01,50,17
CPF.BK,2024-07-01,2023-12-31,2024-02-14,annual,fixed,True,138,21.09542655944824,13050847000.0,7819000000.0,0.08,488975354000.0,-0.0461624665656116,0.2592124938964844,-0.305374960462096,21.094443616182055,2024-07-01,50,17
RATCH.BK,2024-07-01,2023-12-31,2024-02-14,annual,fixed,True,138,23.641332626342773,7679247281.0,2175000000.0,0.08,66406862233.0,-0.4155233073794843,-0.01717376708984375,-0.39834954028964054,23.6419127787393,2024-07-01,50,17
SCC.BK,2024-07-01,2023-12-31,2024-02-14,annual,fixed,True,138,213.29660034179688,10057022000.0,1199767731.0,0.08,293983295000.0,-0.1228264060771993,0.28165149688720703,-0.40447790296440633,213.29598317679785,2024-07-01,50,17
OSP.BK,2024-07-01,2023-12-31,2024-02-14,annual,fixed,True,138,22.31423568725586,675570018.0,3002628245.0,0.08,1348961969.0,-0.0441530125672264,0.44892120361328125,-0.4930742161805077,22.31383028604925,2024-07-01,50,17
AOT.BK,2024-09-30,2023-09-30,2023-11-14,annual,fixed,True,321,62.23675155639648,5269658894.0,14285700000.0,0.08,55384119007.0,1.907056030363309,0.6198844909667969,1.2871715393965122,62.23632140685577,2024-09-30,50,17
BBL.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,141.7274932861328,110058999000.0,1908843000.0,0.08,473061020000.0,0.2352337042234515,-0.18385982513427734,0.4190935293577288,141.72752570918553,2024-09-30,50,17
MINT.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,27.508760452270508,29240934690.0,5479000000.0,0.08,183214623848.0,0.2237967270720304,-0.07914924621582031,0.3029459732878507,27.509365614783057,2024-09-30,50,17
CPN.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,61.87828826904297,19898007759.0,4488000000.0,0.08,120154806799.0,0.2821903946987536,0.04055595397949219,0.24163444071926143,61.87926571417828,2024-09-30,50,17
CCET.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,3.534690618515014,11651127561.0,6428153000.0,0.08,17417417506.0,-0.1238979823102164,-0.310394287109375,0.1864963047991586,3.5349550797192633,2024-09-30,50,17
OR.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,16.673603057861328,28829293622.0,12058768179.0,0.08,-15560274183.0,-0.0253790588577904,-0.19329833984375,0.1679192809859596,16.672715609969547,2024-09-30,50,17
AWC.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,3.6511361598968506,2690072194.0,32013716000.0,0.08,70540783275.0,0.463910372843862,0.3455810546875,0.118329318156362,3.651138536522392,2024-09-30,50,17
TISCO.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,89.17658996582031,7261251000.0,800655000.0,0.08,18471289000.0,0.0553973029748231,-0.06250667572021484,0.11790397869503794,89.17649044294576,2024-09-30,50,17
CENTEL.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,39.78829956054688,2807020487.0,1350000000.0,0.08,24586374912.0,0.231912841496547,0.11632156372070312,0.11559127777584388,39.78735292489789,2024-09-30,50,17
CPALL.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,63.774635314941406,58828831358.0,8983000000.0,0.08,360292526701.0,0.0798242383212359,-0.010038375854492188,0.08986261417572809,63.77475910766475,2024-09-30,50,17
PTT.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,30.43377494812012,204486768442.0,28577520650.0,0.08,744307776508.0,-0.0660248283219039,-0.15349578857421875,0.08747096025231485,30.433485944967686,2024-09-30,50,17
BH.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,248.35806274414065,5419119872.0,867415000.0,0.08,-3682909602.0,0.2246847615980067,0.19696950912475586,0.02771525247325085,248.35798906310316,2024-09-30,50,17
BEM.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,7.733124732971191,5713375237.0,15124571800.0,0.08,67174028014.0,0.1671464104558424,0.150390625,0.016755785455842387,7.733785813375042,2024-09-30,50,17
SCGP.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,27.48099708557129,14099017000.0,4301748361.0,0.08,39224277000.0,-0.1141245795974688,-0.08376693725585938,-0.030357642341609425,27.480221385297202,2024-09-30,50,17
KCE.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,35.70903778076172,3765720730.0,1185918593.0,0.08,460442625.0,-0.1144707210828365,-0.0800933837890625,-0.034377337293774,35.70913508077067,2024-09-30,50,17
BJC.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,23.899900436401367,10804302204.0,4007797000.0,0.08,161334829735.0,0.0288287127107582,0.07971763610839844,-0.050888923397640236,23.90030755132406,2024-09-30,50,17
ADVANC.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,232.07485961914065,36648784513.0,2974000000.0,0.08,227639225668.0,0.0182663828921181,0.0913848876953125,-0.0731185048031944,232.07538500153134,2024-09-30,50,17
BDMS.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,28.00953483581543,12527271705.0,15892001895.0,0.08,10339182818.0,0.0970150000335783,0.17937850952148438,-0.08236350948790608,28.00927378961225,2024-09-30,50,17
HMPRO.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,9.90184497833252,4561597342.0,13151198000.0,0.08,18163064846.0,0.0502020573505082,0.152587890625,-0.1023858332744918,9.901720310270319,2024-09-30,50,17
CBG.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,75.94501495361328,3043299765.0,1000000000.0,0.08,4658151381.0,-0.0188392631444259,0.10428237915039062,-0.12312164229481652,75.94496750822492,2024-09-30,50,17
TOP.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,47.72587203979492,13487130301.0,2234000000.0,0.08,155775678687.0,-0.0915577098257052,0.03448486328125,-0.1260425731069552,47.72588419799512,2024-09-30,50,17
IVL.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,23.663646697998047,26903819000.0,5614552000.0,0.08,235649402000.0,-0.1749417486599893,-0.04128074645996094,-0.13366100220002836,23.663760346130164,2024-09-30,50,17
TU.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,13.380613327026367,6316925000.0,4521185000.0,0.08,53498450000.0,-0.1249057966846063,0.01793670654296875,-0.14284250322757505,13.380651785571917,2024-09-30,50,17
TLI.BK,2024-09-30,2023-12-31,2024-02-14,annual,fixed,True,229,10.34237289428711,3423863000.0,11450000000.0,0.08,-7696188000.0,0.00630922473228,0.151214599609375,-0.144905374877095,10.343283543366143,2024-09-30,50,17
