Ticker,Period_Type,Statement_Date,Availability_Date,Reporting_Lag_Days,Revenue,EBIT,FCF,Total_Debt,Total_Cash,Net_Debt,Shares_Issued,Diluted_Average_Shares,Revenue_Growth
CENTEL.BK,annual,2022-12-31,2023-02-14,45,17487729454.0,1278583311.0,3030643929.0,22480372890.0,3136630955.0,19343741935.0,1350000000.0,1350000000.0,
CENTEL.BK,annual,2023-12-31,2024-02-14,45,21543358483.0,2697663692.0,2807020487.0,27105280262.0,2518905350.0,24586374912.0,1350000000.0,1350000000.0,0.231912841496547
CENTEL.BK,annual,2024-12-31,2025-02-14,45,23036968311.0,3235062842.0,-631902421.0,31191311574.0,2657812993.0,28533498581.0,1350000000.0,1350000000.0,0.06933040775321153
CENTEL.BK,annual,2025-12-31,2026-02-14,45,23953951337.0,3639036002.0,3455380675.0,31798372190.0,2944784447.0,28853587743.0,1350000000.0,0.0,0.039804848173626395
CENTEL.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350000000.0,
CENTEL.BK,quarterly,2024-12-31,2025-02-14,45,6005924311.0,1041840842.0,-544702696.0,31191311574.0,2657812993.0,28533498581.0,1350000000.0,0.0,
CENTEL.BK,quarterly,2025-03-31,2025-05-15,45,6422669000.0,1216197000.0,422950000.0,31198939000.0,2304903000.0,28894036000.0,1350000000.0,1350000000.0,0.06938893456194939
CENTEL.BK,quarterly,2025-06-30,2025-08-14,45,5599361000.0,478401000.0,593137000.0,32492959000.0,2506712000.0,29986247000.0,1350000000.0,1350000000.0,-0.12818782970132825
CENTEL.BK,quarterly,2025-09-30,2025-11-14,45,5621787000.0,552435000.0,894461000.0,31893477000.0,2047780000.0,29845697000.0,1350000000.0,1350000000.0,0.004005099867645523
CENTEL.BK,quarterly,2025-12-31,2026-02-14,45,6310134337.0,1392003002.0,1544832675.0,31798372190.0,2944784447.0,28853587743.0,1350000000.0,0.0,0.12244279923803592
COM7.BK,annual,2021-12-31,2022-02-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
COM7.BK,annual,2022-12-31,2023-02-14,45,62732613997.0,3935471204.0,1150427104.0,6138217296.0,1335271578.0,4802945718.0,2399998265.0,2399998000.0,
COM7.BK,annual,2023-12-31,2024-02-14,45,69559452000.0,3754219000.0,48570000.0,9381194000.0,1729220000.0,7651974000.0,2399998265.0,2384998000.0,0.10882438285333484
COM7.BK,annual,2024-12-31,2025-02-14,45,79042955000.0,4319400000.0,1702375000.0,11133290000.0,2016981000.0,9116309000.0,2399998265.0,2371819000.0,0.13633665486611357
COM7.BK,annual,2025-12-31,2026-02-14,45,87254554000.0,5197790000.0,4798417000.0,12016528000.0,3022858000.0,8993670000.0,2387698765.0,2372070000.0,0.10388780378972418
COM7.BK,quarterly,2024-09-30,2024-11-14,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2363656000.0,
COM7.BK,quarterly,2024-12-31,2025-02-14,45,23460804000.0,1359528000.0,-1581032000.0,11133290000.0,2016981000.0,9116309000.0,2399998265.0,0.0,
COM7.BK,quarterly,2025-03-31,2025-05-15,45,20895241000.0,1247025000.0,3513038000.0,7770891000.0,1675980000.0,6094911000.0,2399998265.0,2354998000.0,-0.10935528893212698
COM7.BK,quarterly,2025-06-30,2025-08-14,45,20713211000.0,1273347000.0,153577000.0,10403275000.0,883253000.0,9520022000.0,2399998265.0,2354998000.0,-0.008711553027792363
